target,window,model,base_model,residual_model,RMSE,MAE,MAPE,NRMSE
WTI Oil,tscv_13,PatchTST+NLinear,PatchTST,NLinear,4.139484802315463,3.6471192672487285,5.132016799229661,5.897360243466423
WTI Oil,tscv_14,PatchTST+XGB,PatchTST,XGB,4.80564623833469,3.9430796534462567,5.428561620197065,6.783731128648922
WTI Oil,tscv_14,PatchTST+LGBM,PatchTST,LGBM,4.95347386117497,3.701615689936498,5.054336606875875,6.992407089591751
WTI Oil,tscv_14,PatchTST,PatchTST,-,6.630708893742127,5.488491193959068,7.559134792003354,9.360020296266141
WTI Oil,tscv_14,PatchTST+NLinear,PatchTST,NLinear,7.273655393248789,6.752896126616946,9.400902410358503,10.267614398380204
WTI Oil,tscv_15,PatchTST+XGB,PatchTST,XGB,8.028171936851036,7.178195529828752,9.802667205112982,11.1517613202271
WTI Oil,tscv_15,PatchTST+LGBM,PatchTST,LGBM,8.242305613221712,7.179278661723252,9.7808481030535,11.449209813893168
WTI Oil,tscv_15,PatchTST+NLinear,PatchTST,NLinear,12.827971735646525,12.302530167449463,16.985017284113287,17.819060197490113
WTI Oil,tscv_15,PatchTST,PatchTST,-,16.96077321974732,16.613879400441,22.939549831559066,23.559846032309935
WTI Oil,tscv_16,PatchTST+XGB,PatchTST,XGB,4.368961990568651,3.742685566784085,5.1340542549722645,6.078493643692616
WTI Oil,tscv_16,PatchTST+NLinear,PatchTST,NLinear,4.5963473117210505,3.802611770193915,5.178797299793416,6.3948525940056555
WTI Oil,tscv_16,PatchTST+LGBM,PatchTST,LGBM,4.74095341624449,3.798974026456468,5.193770896481398,6.596041638241417
WTI Oil,tscv_16,PatchTST,PatchTST,-,5.740923649004409,4.910574843924384,6.701331206653377,7.987290341442393
WTI Oil,tscv_17,PatchTST+LGBM,PatchTST,LGBM,5.750034674416677,4.079841328867075,6.177566387822872,8.300042100280521
WTI Oil,tscv_17,PatchTST+NLinear,PatchTST,NLinear,7.1806707184464855,5.899218380107576,8.779863813367394,10.365132150686314
WTI Oil,tscv_17,PatchTST,PatchTST,-,8.613159470985547,6.995750532071553,10.443546237645107,12.432896542986906
WTI Oil,tscv_17,PatchTST+XGB,PatchTST,XGB,8.786146332520232,6.884375909811353,10.367689951136573,12.68259907781187
WTI Oil,tscv_18,PatchTST+NLinear,PatchTST,NLinear,5.844065056378485,4.710832405938045,7.489247967827704,8.940415110954918
WTI Oil,tscv_18,PatchTST,PatchTST,-,8.5551826456064,7.365998597741505,11.718265216059114,13.087959059982978
WTI Oil,tscv_18,PatchTST+XGB,PatchTST,XGB,9.65262397854673,8.918977715240962,13.988108865827162,14.766855681042564
WTI Oil,tscv_18,PatchTST+LGBM,PatchTST,LGBM,10.206255256461523,9.470159836294135,14.87672409199928,15.613816383090938
WTI Oil,tscv_19,PatchTST+XGB,PatchTST,XGB,7.023190195678271,6.244320358567009,10.080435840557652,11.114907234659903
WTI Oil,tscv_19,PatchTST+LGBM,PatchTST,LGBM,7.379280033427001,6.633375394037043,10.710223464225574,11.678455337944609
WTI Oil,tscv_19,PatchTST+NLinear,PatchTST,NLinear,8.519332638442643,7.937653666469028,12.693277869556962,13.482703634563245
WTI Oil,tscv_19,PatchTST,PatchTST,-,9.81823414732614,9.39283987455822,15.029234188679345,15.538346351897564
WTI Oil,tscv_20,PatchTST+NLinear,PatchTST,NLinear,5.693760180954051,5.242392927381725,8.300028118827639,8.89183937218388
WTI Oil,tscv_20,PatchTST+XGB,PatchTST,XGB,7.6626420601212155,6.722547608100044,10.749791848546218,11.966605582204425
WTI Oil,tscv_20,PatchTST,PatchTST,-,7.811613834480596,6.897879359605578,11.016710903705322,12.199252031386427
WTI Oil,tscv_20,PatchTST+LGBM,PatchTST,LGBM,8.409778395547535,7.183151924944107,11.534531460982839,13.133394500704282
WTI Oil,tscv_21,PatchTST+XGB,PatchTST,XGB,11.208372345898919,10.563409010339162,15.76775302874299,16.980545437668425
WTI Oil,tscv_21,PatchTST+NLinear,PatchTST,NLinear,11.948852793750735,11.50460354464092,17.24335007629892,18.102364155178602
WTI Oil,tscv_21,PatchTST+LGBM,PatchTST,LGBM,11.968263140881977,11.320577527864176,16.90798055244146,18.131770590943876
WTI Oil,tscv_21,PatchTST,PatchTST,-,12.063070870491677,11.487261930871389,17.172117250303298,18.275403128371913
WTI Oil,tscv_22,PatchTST,PatchTST,-,5.7025040681908274,5.099490379188173,7.527133637040033,8.578475592454152
WTI Oil,tscv_22,PatchTST+NLinear,PatchTST,NLinear,5.899240291461789,4.883727429053894,7.19846287853131,8.874432749047115
WTI Oil,tscv_22,PatchTST+LGBM,PatchTST,LGBM,6.40498657175485,5.293859846344687,7.76352969441418,9.635244502899127
WTI Oil,tscv_22,PatchTST+XGB,PatchTST,XGB,6.550166945250384,5.835082267615907,8.610349165150454,9.85364439804027
